
3.21979,1
15.02449,0
25.37099,3
35.74199,2
47.34189,0
59.13839,1
70.02559,2
80.47858,3
91.17729,1
102.05629,2
113.08269,3
124.20749,0
134.52939,2
145.46569,1
157.25399,0
168.09199,3
179.37239,0
189.94829,3
200.95829,1
212.94319,2
223.92049,0
235.53669,2
247.55439,1
257.93369,3
269.73011,0
279.86359,2
290.97199,3
302.42439,1
313.45088,3
324.87049,1
335.25799,2
346.16969,0
357.99079,1
368.16519,2
378.66739,0
390.64409,3
401.21169,2
413.09009,1
424.36229,0
436.15879,3
447.48839,1
457.54809,0
467.77169,3
478.74899,2
490.35709,3
501.94879,1
513.61419,2
524.82899,0
536.81389,2
548.52029,1
559.66139,3
570.25369,0
581.47669,2
592.95369,1
604.41429,0
614.87549,3
626.23779,1
638.09979,3
649.41299,2
660.59499,0
670.88419,1
681.63209,3
692.32269,0
703.74229,2
715.09639,1
726.13919,2
737.94389,0
749.18329,3
759.96399,2
771.42459,3
782.63129,1
793.46109,0
804.09429,3
815.89079,2
826.60589,1
837.74699,0
848.82259,2
860.22589,3
870.76899,0
881.14009,1
