,CON1,CON2,CON3,WN
CON1,0.2863684210526316,0.28936842105263155,0.26310526315789473,0.1611578947368421
CON2,0.30736842105263157,0.26594736842105265,0.2681578947368421,0.15852631578947368
CON3,0.3056315789473684,0.27921052631578946,0.24810526315789475,0.16705263157894737
WN,0.27163157894736845,0.2836842105263158,0.23157894736842105,0.21310526315789474
