,CON1,CON2,CON3,WN
CON1,0.29242105263157897,0.286,0.24410526315789474,0.1774736842105263
CON2,0.2843684210526316,0.3042105263157895,0.2576842105263158,0.15373684210526317
CON3,0.24368421052631578,0.2794736842105263,0.3434736842105263,0.13336842105263158
WN,0.2921578947368421,0.2698421052631579,0.2345263157894737,0.2034736842105263
