TIME,CODE
4.23653,51
15.26299,50
26.06819,49
36.44749,52
46.59739,50
58.32829,51
69.90359,49
80.25829,52
91.98109,51
102.52419,50
113.82089,52
124.79819,49
135.30038,52
146.86748,50
158.37719,51
169.16609,49
179.99589,52
190.48989,50
202.03239,49
212.70659,51
223.10219,49
233.66169,50
244.42599,51
255.87019,52
267.71588,49
279.16828,51
289.53929,52
300.99178,50
312.20659,49
323.22479,52
333.59589,50
345.53979,51
356.32049,52
367.85489,51
378.91408,50
389.75209,49
400.33609,52
411.32979,50
422.64289,49
433.12049,51
444.32719,52
456.00899,50
466.43739,49
478.16829,51
488.69499,49
499.03329,51
509.28149,52
519.30029,50
530.95759,51
542.81139,50
553.83779,49
565.14279,52
575.96439,51
586.85159,50
597.25539,52
607.89679,49
619.29189,50
629.94969,52
640.14869,51
650.42149,49
661.91489,52
672.29411,49
683.27139,50
693.74079,51
705.05399,52
716.98149,50
727.43449,49
737.87109,51
748.68449,50
759.01469,51
769.02529,52
780.64969,49
791.63519,50
802.76809,49
813.37679,52
824.03459,51
834.38921,49
845.87439,51
857.37599,52
867.68153,50
