TIME,CODE
3.22789,51
13.93479,52
24.65818,50
36.27439,49
47.23529,51
59.06458,52
70.90199,49
82.03489,50
93.02859,51
104.38269,52
115.81869,49
126.11609,50
137.03599,51
147.48079,50
158.76119,49
169.27969,52
180.96149,50
191.77489,51
202.31809,52
212.73829,49
223.19129,51
234.12759,52
245.07209,49
255.72169,50
267.62469,49
278.65109,51
289.84139,52
301.66239,50
312.41029,51
323.93649,49
334.02079,52
345.21109,50
357.14681,51
368.83679,52
380.53499,50
391.28289,49
403.28419,52
414.88409,49
425.55008,50
435.64259,51
445.92357,50
457.45789,51
468.45978,52
479.82208,49
490.11939,52
500.22829,51
511.63159,49
522.95289,50
533.19289,52
543.98179,51
554.65599,49
564.81408,50
575.63569,49
585.67089,51
596.28769,52
607.47799,50
617.48859,52
628.61338,50
640.37709,49
651.30519,51
662.78219,52
674.70969,49
685.94099,50
696.57419,51
708.26419,49
718.95469,51
729.32579,50
740.92569,52
751.54249,49
762.75731,51
773.90669,52
785.78509,50
796.46739,49
808.28029,52
819.66719,51
830.35769,50
841.85109,51
852.42699,50
863.39609,52
875.11059,49
