TIME,CODE
3.12839,50
14.38419,52
25.53349,51
37.28079,49
49.26569,50
59.80059,51
71.79369,52
82.09109,49
92.34747,52
103.41488,49
115.04749,51
125.78719,50
137.29697,51
148.29059,49
160.25909,50
171.41659,52
182.44309,51
193.44489,50
204.65979,52
216.61189,49
227.48269,51
238.02579,52
249.42899,50
259.96399,49
270.45789,51
281.22219,52
292.00289,50
303.59459,49
315.34189,51
326.76149,49
337.76339,52
349.07649,50
359.61959,51
370.58049,52
381.64789,50
392.19099,49
403.52879,50
415.44809,49
427.45759,52
438.72979,51
449.63329,49
461.26599,51
473.02149,52
484.76059,50
495.11529,52
505.19969,50
515.27579,51
525.50759,49
537.09929,51
547.36389,52
559.19309,50
569.43311,49
579.85339,51
590.71599,50
601.40649,52
611.72021,49
622.62379,50
633.22421,51
643.63629,49
653.83529,52
665.23859,50
675.74069,49
687.09479,51
697.62159,52
707.64039,49
718.10979,50
728.67739,52
740.35099,51
750.99239,50
762.48579,49
772.67669,51
784.23559,52
796.15489,50
807.90229,49
818.92869,52
830.44669,51
840.67841,52
851.95067,51
862.91158,50
874.51959,49
