TIME,CODE
5.55339,51
17.33349,52
27.92579,49
38.23129,50
49.98689,51
61.39009,50
71.82669,52
82.85319,49
94.34649,51
106.14299,52
117.90669,49
128.56449,50
139.66469,51
151.33009,50
162.10259,52
173.82529,49
184.58959,51
195.55049,50
205.81509,52
217.54599,49
227.81059,50
239.27939,51
249.68319,49
260.48029,52
271.52309,49
283.13119,50
294.59999,51
306.49478,52
317.22629,51
327.87589,49
338.56639,52
348.61799,50
360.19329,52
371.06409,49
381.11569,51
393.03508,50
404.03689,49
415.30909,51
425.94229,52
436.97689,50
447.94599,52
459.70969,51
469.93329,50
481.32839,49
492.14189,50
503.23379,49
514.03909,52
524.89349,51
536.28858,49
548.19969,50
559.09509,52
569.26949,51
579.74709,52
591.59269,51
602.51269,49
614.36649,50
624.41809,49
636.21458,52
647.19188,51
657.84959,50
669.18739,52
679.50109,49
690.16709,50
702.18469,51
712.91629,52
724.82739,49
735.59989,50
745.61869,51
756.70249,52
767.04899,50
778.58329,49
790.43718,51
800.79179,50
811.34309,51
822.42689,49
834.27251,52
844.53709,49
854.68699,50
866.13119,52
877.00199,51
