TIME,CODE
4.64747,49
15.91148,52
26.03679,50
36.56349,51
47.43429,49
58.54259,52
70.30629,51
81.33279,50
92.80159,52
104.73729,49
115.04288,50
126.98679,51
138.42279,52
149.46559,50
160.50028,49
171.48569,51
181.96329,49
193.65329,51
204.40939,50
214.74769,52
226.30659,50
237.83269,49
249.16229,51
259.30399,52
270.85469,50
282.43819,51
292.82559,49
303.97489,52
315.56659,49
326.91249,51
337.55398,50
348.98999,52
359.94269,51
370.19909,50
381.47948,52
392.58779,49
403.91729,51
415.00929,49
425.48689,52
436.01359,50
446.85979,51
458.43509,50
470.23159,52
481.34809,49
492.58751,52
503.80239,49
514.64859,51
524.74109,50
535.39069,52
547.12169,49
557.37809,51
567.63449,50
579.62749,51
589.86758,50
601.34449,49
612.38739,52
623.61039,51
634.54669,50
645.90079,49
656.79619,52
668.51889,51
679.53719,50
691.28449,49
702.90898,52
713.50119,51
724.85529,50
736.23399,52
746.86719,49
757.33659,50
767.59299,51
778.31629,49
788.85119,52
799.92679,51
811.73149,52
822.57769,49
833.13719,50
844.73709,49
855.86999,50
866.38849,52
877.30029,51
