TIME,CODE
3.99139,51
14.46899,52
26.09349,50
37.99639,49
49.40789,51
59.44309,52
70.92009,50
82.17589,49
92.57149,51
104.06489,50
115.58288,52
127.56779,49
138.72529,51
150.71838,52
161.82669,49
172.12409,50
183.66659,52
194.89779,50
205.94879,51
217.19639,49
227.56749,50
239.52779,52
250.26749,51
262.01489,49
272.42689,52
283.06829,50
293.13629,51
304.16269,49
315.47579,50
326.55139,49
337.86459,52
348.18649,51
359.85189,52
371.59109,49
383.01889,51
394.97099,50
406.43979,49
417.31059,50
427.87829,51
439.51909,52
450.73399,50
461.41629,52
471.88569,51
483.46919,49
495.02809,52
505.81699,50
515.90129,51
527.64869,49
539.17479,52
549.70969,49
560.52318,50
571.71339,51
582.35479,50
593.71709,49
605.07939,51
616.25329,52
627.92689,51
639.13359,50
650.83179,52
662.56269,49
672.95018,50
684.73028,49
696.42839,52
707.39749,51
719.34968,49
729.55689,51
741.53359,52
752.88769,50
764.66779,52
776.01369,50
786.88449,51
797.37848,49
807.48739,51
818.89879,49
828.97499,52
839.31329,50
851.26539,49
862.84889,50
873.98999,51
885.54889,52
