TIME,CODE
3.94099,49
14.69709,51
26.62469,50
37.08579,52
47.15379,50
58.49149,52
70.34539,49
81.68309,51
91.96409,52
102.99869,50
114.02509,49
124.88769,51
135.49629,50
147.11259,51
157.25429,52
168.29709,49
180.20009,51
190.66943,52
202.41679,50
213.78729,49
223.96989,50
235.93848,52
246.68639,49
257.76189,51
269.11599,49
279.55268,52
290.60369,50
301.17949,51
311.99299,52
323.74849,50
334.52919,49
345.26889,51
357.08989,50
368.31299,49
379.49509,52
391.43079,51
403.36649,49
414.31108,51
426.10749,50
437.06839,52
449.05329,51
459.31789,50
470.57369,52
481.65749,49
492.43819,52
503.35809,50
514.41729,49
524.96859,51
536.02779,52
547.98809,50
558.71959,51
569.06609,49
579.39619,50
591.38929,52
601.53099,49
611.69729,51
623.37089,52
634.20069,49
645.00599,51
655.83579,50
666.14129,52
677.11039,51
687.38319,49
697.88529,50
709.46059,49
720.92119,50
731.38239,52
743.16249,51
754.54939,52
765.08429,51
776.10251,49
787.86629,50
799.42519,52
809.94369,51
820.77349,49
831.21009,50
842.57239,49
853.37769,52
864.33859,50
874.46389,51
