TIME,CODE
4.56909,50
15.55459,52
25.66349,51
37.61559,49
49.24829,50
59.35719,51
69.85109,49
80.32049,52
90.88819,50
102.60279,52
112.73629,51
124.75389,49
136.00149,51
147.95369,52
159.42249,49
169.65429,50
180.43493,49
191.58429,50
201.65219,52
212.52299,51
223.30369,49
234.00239,51
244.66019,52
255.89963,50
267.52409,52
278.23919,50
290.13399,51
300.66069,49
311.54789,50
322.32039,52
333.24029,51
343.84899,49
355.66999,52
365.88539,49
376.32208,50
387.46319,51
398.89919,49
410.61379,52
420.88649,51
431.72458,50
441.81709,49
453.68729,51
463.86999,50
474.15909,52
485.66889,49
496.86729,52
506.97629,50
517.73239,51
528.38199,49
539.54759,51
550.07439,52
561.15809,50
571.52099,52
582.10509,50
592.43519,49
602.93729,51
613.13639,52
623.49929,51
634.40279,49
644.46259,50
655.43169,52
667.22819,49
677.79579,50
688.51919,51
699.81598,49
710.24438,52
721.54109,51
732.30539,50
743.09429,52
753.85039,50
765.23728,49
775.49359,51
785.65989,49
795.95729,51
806.45119,52
817.42029,50
827.84259,52
839.81109,50
851.09963,51
861.49529,49
