TIME,CODE
4.25049,51
15.05569,52
26.90951,50
36.96929,49
48.02029,50
58.44049,51
68.51669,52
78.78949,49
90.47949,52
101.79259,50
112.66339,51
122.85419,49
133.88889,51
145.84919,49
157.06408,50
168.85229,52
179.23979,51
190.20069,49
200.65369,50
210.76259,52
222.07579,49
232.72539,52
244.25969,51
255.07309,50
265.81279,51
277.81409,52
289.44679,50
299.49839,49
310.74598,52
320.91219,49
331.84039,51
343.22719,50
353.72119,51
365.32928,52
375.57748,50
387.23469,49
398.58879,50
410.45899,49
421.02669,51
432.73099,52
444.04819,49
455.69729,52
465.72429,50
476.24279,51
486.32709,49
496.83749,50
508.49469,52
518.77569,51
529.73659,50
539.84549,52
550.73261,49
561.26758,51
572.35949,50
583.82829,49
594.42879,52
606.10239,51
616.62089,52
628.28629,51
640.18929,50
651.73179,49
663.39719,51
674.25979,52
684.43429,49
695.68189,50
706.46259,51
717.82489,50
729.20359,52
739.42719,49
751.02708,51
762.92999,52
773.58779,49
784.10629,50
794.13338,49
805.22529,50
817.01359,52
828.58069,51
840.33619,49
850.76468,52
862.32359,51
874.06269,50
