TIME,CODE
2.87729,52
13.58429,51
25.47089,49
36.75129,50
48.60509,49
60.31961,52
70.81359,50
81.05359,51
91.60489,50
101.92679,52
113.75609,49
125.57709,51
136.03009,52
146.35199,51
156.39539,49
166.46339,50
178.45649,49
188.78659,51
200.70598,52
211.65869,50
222.66049,51
233.84259,49
245.54079,52
257.16519,50
267.78199,52
278.24319,51
289.92499,49
300.30429,50
311.87139,52
323.00429,51
334.77619,49
344.95889,50
355.48559,52
366.08603,50
376.98139,51
387.68839,49
398.96869,50
410.46209,52
422.25859,51
433.66189,49
444.99139,50
456.91889,51
468.43689,49
478.83249,52
489.69509,51
501.38509,52
513.14879,50
523.38879,49
533.52229,51
543.77869,52
554.87889,50
566.23299,49
577.62809,51
588.08919,50
598.23089,49
608.93789,52
619.64479,50
631.09719,49
642.63159,51
653.73169,52
663.99629,50
675.62079,52
686.59799,51
698.35359,49
709.03589,52
720.14429,50
731.53939,51
743.22118,49
753.43659,52
763.75029,49
775.38289,50
785.72939,51
797.02619,50
807.59389,51
819.28389,49
829.45829,52
841.36129,51
852.47788,49
862.88989,50
873.80979,52
