TIME,CODE
3.39849,51
13.89249,49
24.71409,50
35.35549,52
46.36558,49
58.04729,50
68.92629,51
79.45299,52
90.43029,51
100.53929,52
111.99169,49
123.39489,50
134.42959,52
146.11133,49
156.98209,51
168.56559,50
180.30478,49
190.95439,50
202.14459,52
213.62979,51
225.49999,52
236.54279,51
246.83199,50
258.70219,49
270.67889,52
281.42679,51
293.20689,50
304.35619,49
315.71849,51
327.61329,49
338.95919,52
350.38709,50
362.03609,52
373.37379,50
384.46579,51
396.32779,49
408.05869,51
419.41279,49
431.05369,50
441.31829,52
452.35289,51
462.69119,52
473.73399,49
485.58779,50
496.61429,52
507.80449,49
519.10129,50
530.38989,51
542.36659,49
553.64699,51
564.51769,50
575.19189,52
586.25109,50
596.36828,51
607.27179,52
617.35609,49
628.26789,52
639.40079,49
650.19789,51
660.69179,50
670.89909,49
682.35969,51
694.11519,52
705.78879,50
716.11069,49
726.58009,51
738.27009,50
749.23919,52
759.24979,50
770.45639,49
781.99898,52
793.97569,51
805.22329,52
816.67569,50
827.71849,49
838.18789,51
849.10779,50
860.87153,52
871.29179,49
883.13739,51
