TIME,CODE
3.12189,51
14.24669,52
25.89569,49
37.11049,50
47.73559,51
57.81989,50
67.87969,49
78.31629,52
89.46559,50
100.59038,49
110.95319,51
122.65959,52
132.67839,49
144.22091,50
154.64938,51
165.52829,52
176.28439,50
187.28629,49
198.57488,51
210.22389,52
221.65169,51
233.48918,50
244.82689,52
256.41859,49
267.38769,50
278.25023,51
289.91569,52
300.31129,49
311.02643,50
322.74099,49
334.45559,51
345.20349,52
356.44289,50
368.30489,52
379.02819,51
389.78429,49
401.53168,52
411.92729,51
423.52719,50
434.28329,49
445.40799,52
457.33559,49
468.05069,51
480.06839,50
490.54589,49
501.60509,50
512.17279,51
523.34669,52
534.05359,51
545.62889,49
555.69689,50
567.63268,52
579.50288,51
590.49649,50
601.77898,49
613.32149,52
624.85579,49
636.57859,51
646.81859,50
658.77889,52
670.12479,51
680.59419,49
692.21048,52
703.40069,50
714.89409,49
725.51909,51
735.84919,50
747.28529,52
758.09049,49
768.51889,52
780.08599,51
791.89889,50
803.00728,51
814.55799,50
826.43638,49
837.68399,52
848.15338,50
858.98319,51
869.66549,49
879.88919,52
